"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_00001",180.85,188.57,186.55,186.51,183.47,178.33,180.73,185.56,189.84,197.25,159.37,164.41
"1617.00_00002",216.42,177.83,240.27,115.41,206.17,300.8,251.58,196.56,235.16,207.02,135.76,138.72
"1617.00_00003",174.8,150.38,114.91,131.9,149.42,120.32,117.11,145.22,137.18,126.17,197.73,241.48
"1617.00_00004",136.21,75.19,108.94,70.07,105.92,79.5,88.2,85.81,90.64,77.3,135.02,157.8
"1617.00_00005",97.61,64.45,86.56,74.19,66.2,73.05,75.18,77.01,71.04,68.41,104.03,104.22
"1617.00_00006",102.91,76.38,68.65,95.83,68.09,74.13,111.33,73.34,89.41,80.85,109.93,119.64
"1617.00_00007",115.02,64.45,59.7,52.55,63.36,73.05,63.62,65.27,53.89,80.85,102.55,97.62
"1617.00_00008",90.05,39.38,76.11,85.53,78.5,84.87,93.98,101.95,83.29,77.3,111.41,115.23
"1617.00_00009",133.94,165.89,120.88,141.17,125.78,124.62,104.1,120.28,128.6,103.95,151.99,137.25
"1617.00_00010",983.71,689.83,710.37,849.1,728.21,654.23,725.81,785.5,731.21,678.81,1247.63,1441.53
"1617.00_00011",15.13,8.35,8.95,13.4,16.08,12.89,13.01,14.67,8.57,15.1,16.97,26.42
"1617.00_00012",117.29,78.77,71.63,82.44,62.42,73.05,75.18,76.28,60.02,73.75,113.62,113.03
"1617.00_00013",233.82,162.31,180.58,203,174.01,204.11,195.19,184.82,173.92,169.7,221.34,222.39
"1617.00_00014",91.56,48.93,80.59,53.58,53.91,65.53,99.76,74.81,83.29,74.63,93.7,133.58
"1617.00_00015",149.83,64.45,120.88,116.44,105.92,103.13,153.26,135.68,118.81,139.49,121,135.79
"1617.00_00016",185.39,69.22,65.66,117.47,100.25,114.95,101.21,111.48,117.58,136.83,149.04,136.52
"1617.00_00017",867.93,605.09,664.11,693.5,711.19,695.06,841.48,738.56,707.94,751.67,785.02,856.55
"1617.00_00018",139.23,119.35,117.9,113.35,99.3,114.95,133.02,123.22,123.71,115.51,113.62,137.99
"1617.00_00019",81.72,37,73.13,96.86,91.74,95.61,91.09,93.88,73.49,66.64,101.82,93.21
"1617.00_00020",625.03,201.7,288.03,122.62,370.72,381.37,329.65,383.58,427.46,438.03,117.31,120.37
"1617.00_00021",919.39,478.58,450.7,223.61,515.42,428.64,474.23,511.93,522.99,608.62,258.97,281.85
"1617.00_00022",108.21,65.64,120.88,133.96,106.87,129.99,115.67,118.08,126.15,111.06,101.08,123.31
"1617.00_00023",1611.77,1889.27,1350.6,1363.3,1505.6,1353.59,1366.31,1586.4,1480.79,1647.28,1173.85,1058.39
"1617.00_00024",945.12,1012.07,674.55,716.17,773.6,770.26,806.78,782.57,771.63,841.41,670.66,590.12
"1617.00_00025",187.66,91.9,104.47,169,141.86,168.66,161.93,167.22,142.08,167.93,166.74,155.6
"1617.00_00026",151.34,107.41,77.6,84.5,82.28,99.91,91.09,94.61,86.96,122.61,93.7,102.02
"1617.00_00027",199.01,211.25,176.1,167.97,178.74,210.56,245.79,176.02,226.59,194.58,143.13,146.06
"1617.00_00028",174.04,322.24,358.17,283.38,290.34,325.51,248.68,289.7,260.88,272.77,125.43,118.17
"1617.00_00029",375.32,239.89,686.49,804.79,650.66,683.24,624.6,649.08,563.41,489.56,455.23,458
"1617.00_00030",200.53,260.18,208.93,162.81,212.79,189.07,209.65,238.36,214.34,191.92,188.88,206.98
"1617.00_00031",118.05,81.16,111.93,129.84,113.49,102.06,88.2,96.08,93.09,111.06,140.18,164.41
"1617.00_00032",123.34,99.06,92.53,134.99,112.54,102.06,79.52,119.55,99.21,96.85,183.71,173.95
"1617.00_00033",152.1,140.83,176.1,206.09,188.2,142.88,186.51,159.89,188.62,169.7,214.7,211.38
"1617.00_00034",196.74,253.02,207.44,195.79,244.94,208.41,205.31,233.96,226.59,223.01,204.37,212.85
"1617.00_00035",23.46,32.22,56.71,38.13,44.45,35.45,36.15,40.34,36.74,37.32,34.68,42.57
"1617.00_00036",1246.28,698.18,617.84,688.35,733.88,595.15,764.85,793.57,750.81,802.32,1343.54,1536.94
"1617.00_00037",1931.1,1982.36,1384.92,1541.57,1546.26,1253.68,1227.51,1549,1428.12,1526.44,2113.81,2299.55
"1617.00_00038",430.56,644.48,668.58,828.49,676.19,633.82,617.37,565.47,580.56,673.48,582.87,580.57
"1617.00_00039",297.38,496.49,277.58,305.02,274.26,262.12,280.49,290.44,242.51,264.77,337.18,307.54
"1617.00_00040",154.37,99.06,162.67,179.3,183.47,138.58,177.84,187.76,166.57,146.6,177.07,212.12
"1617.00_00041",230.79,182.6,291.01,128.81,275.21,278.24,253.02,275.03,263.33,255.89,119.52,116.7
"1617.00_00042",108.21,152.76,123.87,106.14,106.87,69.83,91.09,112.21,128.6,114.62,93.7,96.88
