"","J12_GZP5_plus","J2_WT2_minus","J28_WT_minus_B","J29_WT_plus_A","J3_WT3_minus","J31_GZP_plus_A","J32_GZP_plus_B","J4_GZP1_minus","J5_GZP2_minus","J6_GZP3_minus","J8_WT4_plus","J9_WT5_plus"
"1617.00_00001",239,158,125,181,194,166,125,253,155,222,216,224
"1617.00_00002",286,149,161,112,218,280,174,268,192,233,184,189
"1617.00_00003",231,126,77,128,158,112,81,198,112,142,268,329
"1617.00_00004",180,63,73,68,112,74,61,117,74,87,183,215
"1617.00_00005",129,54,58,72,70,68,52,105,58,77,141,142
"1617.00_00006",136,64,46,93,72,69,77,100,73,91,149,163
"1617.00_00007",152,54,40,51,67,68,44,89,44,91,139,133
"1617.00_00008",119,33,51,83,83,79,65,139,68,87,151,157
"1617.00_00009",177,139,81,137,133,116,72,164,105,117,206,187
"1617.00_00010",1300,578,476,824,770,609,502,1071,597,764,1691,1964
"1617.00_00011",20,7,6,13,17,12,9,20,7,17,23,36
"1617.00_00012",155,66,48,80,66,68,52,104,49,83,154,154
"1617.00_00013",309,136,121,197,184,190,135,252,142,191,300,303
"1617.00_00014",121,41,54,52,57,61,69,102,68,84,127,182
"1617.00_00015",198,54,81,113,112,96,106,185,97,157,164,185
"1617.00_00016",245,58,44,114,106,107,70,152,96,154,202,186
"1617.00_00017",1147,507,445,673,752,647,582,1007,578,846,1064,1167
"1617.00_00018",184,100,79,110,105,107,92,168,101,130,154,188
"1617.00_00019",108,31,49,94,97,89,63,128,60,75,138,127
"1617.00_00020",826,169,193,119,392,355,228,523,349,493,159,164
"1617.00_00021",1215,401,302,217,545,399,328,698,427,685,351,384
"1617.00_00022",143,55,81,130,113,121,80,161,103,125,137,168
"1617.00_00023",2130,1583,905,1323,1592,1260,945,2163,1209,1854,1591,1442
"1617.00_00024",1249,848,452,695,818,717,558,1067,630,947,909,804
"1617.00_00025",248,77,70,164,150,157,112,228,116,189,226,212
"1617.00_00026",200,90,52,82,87,93,63,129,71,138,127,139
"1617.00_00027",263,177,118,163,189,196,170,240,185,219,194,199
"1617.00_00028",230,270,240,275,307,303,172,395,213,307,170,161
"1617.00_00029",496,201,460,781,688,636,432,885,460,551,617,624
"1617.00_00030",265,218,140,158,225,176,145,325,175,216,256,282
"1617.00_00031",156,68,75,126,120,95,61,131,76,125,190,224
"1617.00_00032",163,83,62,131,119,95,55,163,81,109,249,237
"1617.00_00033",201,118,118,200,199,133,129,218,154,191,291,288
"1617.00_00034",260,212,139,190,259,194,142,319,185,251,277,290
"1617.00_00035",31,27,38,37,47,33,25,55,30,42,47,58
"1617.00_00036",1647,585,414,668,776,554,529,1082,613,903,1821,2094
"1617.00_00037",2552,1661,928,1496,1635,1167,849,2112,1166,1718,2865,3133
"1617.00_00038",569,540,448,804,715,590,427,771,474,758,790,791
"1617.00_00039",393,416,186,296,290,244,194,396,198,298,457,419
"1617.00_00040",204,83,109,174,194,129,123,256,136,165,240,289
"1617.00_00041",305,153,195,125,291,259,175,375,215,288,162,159
"1617.00_00042",143,128,83,103,113,65,63,153,105,129,127,132
"1617.00_00043",481,188,133,145,268,152,105,347,177,320,342,363
"1617.00_00044",577,1134,640,1069,729,992,531,865,589,670,684,708
"1617.00_00045",4,15,11,11,11,11,13,9,7,14,17,20
"1617.00_00046",1977,667,491,848,847,825,658,1235,796,1094,1586,1593
