"","WT1-","PZGH2-","PZGH3-","PZGH2+","PZGH3+","WT2-","WT3-","WT1+","WT2+","WT3+"
"2351_00001",382.44,228.28,275.18,244.23,253.51,314.45,265.81,372.45,327.33,329.02
"2351_00002",42.49,30.51,39.44,29.26,43.83,26.07,33.23,20.41,13.4,20.7
"2351_00003",701.14,601.22,633.83,492.97,399.21,755.18,654.45,909.01,1135.11,1011.02
"2351_00004",525.37,285.92,259.58,237.48,280.75,268.83,277.89,262.75,226.83,239.68
"2351_00005",240.47,139,142.18,106.92,143.34,149.08,147,133.5,109.11,95.87
"2351_00006",170.94,75.72,79.8,84.41,85.29,122.2,125.86,96.94,85.18,91.51
"2351_00007",331.26,254.28,277.01,231.85,215.6,260.69,304.07,239.8,240.23,242.95
"2351_00008",574.63,484.82,454.04,400.68,434.75,518.93,493.36,443.88,430.69,376.95
"2351_00009",2095.7,1755.07,2112.45,1816.56,1553.02,2399.95,2062.03,2578.23,2958.37,2517.75
"2351_00010",4059.08,4340.78,4110.25,3821.08,3873.68,3916.83,4098.9,3864.79,3885.8,3744.48
"2351_00011",3546.27,3998.35,4234.99,4130.59,4200.63,3854.91,3955.92,4183.67,4485.9,4344.77
"2351_00012",6557.5,6451.84,6476.78,6267.92,6024.93,6819.42,7241.29,7125.84,7050.9,6630.46
"2351_00013",686.65,824.99,912.67,944.3,881.35,862.71,896.1,902.21,986.76,873.75
"2351_00014",9848.81,14095.94,13949.71,14116.04,13641.98,12740.28,14982.98,12659,13447.16,13033.23
"2351_00015",125.55,91.54,64.21,55.15,53.31,83.91,64.44,32.31,44.98,54.47
"2351_00016",408.52,359.38,366.9,391.67,358.94,453.76,419.86,391.16,393.37,326.84
"2351_00017",3960.58,2374.37,2005.13,1949.37,2116.9,2769.8,1743.87,2096.09,1600.26,1858.62
"2351_00018",87.88,54.25,47.7,50.65,53.31,69.25,61.42,56.97,54.55,46.85
"2351_00019",94.64,58.77,44.95,48.4,50.94,66.8,68.47,31.46,38.28,58.83
"2351_00020",1496.93,1061.18,868.65,774.35,778.29,972.69,913.22,537.41,594.35,705.97
"2351_00021",1701.67,1326.76,1184.18,1106.37,1164.47,1257,1127.68,735.54,781.95,769.16
"2351_00022",1540.39,1943.8,2073.01,1953.87,2147.7,1648.85,1960.34,1744.9,1851.02,1823.76
"2351_00023",882.7,1304.15,1510.73,1572.33,1539.99,1257,1484.1,1731.29,1879.73,2137.52
"2351_00024",2392.18,2406.02,2549.07,2094.56,2270.9,2637.83,2297.64,2533.16,2900.95,3027.61
"2351_00025",1557.77,2593.62,3604.84,4768.75,4619.98,2572.66,2883.63,2595.24,3768.08,4495.12
"2351_00026",848.9,1350.49,1710.69,2416.45,2282.74,1292.03,1322,1175.17,1740.95,2173.48
"2351_00027",22140.02,20566.99,18227.81,21338.39,22858.25,17813.91,19257.07,17794.2,16244.74,15907.23
"2351_00028",255.93,240.71,255.92,253.24,257.06,274.54,287.96,298.47,309.14,313.76
"2351_00029",517.65,426.05,441.2,435.57,421.72,573.51,480.27,494.05,465.15,470.65
"2351_00030",5978.05,5045.97,3184.73,4870.05,6099.56,5248.78,6017.96,6813.77,5187.44,4356.76
"2351_00031",3694.03,3978.01,2738.02,4034.92,5288.1,3837.81,4673.81,5024.66,3959.49,3561.45
"2351_00032",3331.87,3081.83,2790.31,3064.74,3417.6,3628.44,4248.92,7017,8097.96,7411.61
"2351_00033",336.08,318.69,364.15,347.78,399.21,399.99,420.86,799.32,923.59,912.97
"2351_00034",1743.19,1913.29,1778.57,1871.71,1756.78,2033.36,1733.8,1566.33,1553.36,1501.28
"2351_00035",2214.48,2291.88,2561.91,2578.52,2445.04,2645.16,2463.77,3384.35,3725.01,3425.27
"2351_00036",4286.04,3320.28,3243.44,3173.91,3321.65,4376.29,3668.97,3575.68,3345.04,3341.38
"2351_00037",2631.69,2945.08,2960,3222.31,3050.37,2988.13,3279.32,3210.88,3138.31,3041.78
"2351_00038",9589.02,10935.01,11496.03,11788.51,11656.57,11040.92,12520.21,9793.36,9655.16,9236.45
"2351_00039",629.67,520.98,606.31,560.5,492.8,529.52,579.95,627.55,566.6,586.13
"2351_00040",316.77,254.28,338.47,320.77,249.95,282.68,307.09,397.96,356.04,367.15
"2351_00041",972.52,898.44,1020.91,1131.13,887.27,923,980.67,1220.24,1201.15,1099.27
"2351_00042",7539.68,4372.42,5085.3,4646.07,4604.58,5978.7,5615.22,6168.36,5029.52,4599.71
"2351_00043",22913.59,23215.98,22308.71,22643.97,23679.18,21492.86,21757.08,20779.75,21028.29,20849.02
"2351_00044",3582,3215.18,3742.43,4720.35,4770.43,3365.31,3671.99,3945.58,3716.39,3779.34
"2351_00045",4059.08,2890.84,3082.91,3729.91,3679.4,3335.17,2924.91,3568.02,3030.16,3428.54
"2351_00046",5866.02,6602.14,6513.47,6027.06,6303.31,5880.13,5551.79,5299.32,5672.69,5842.78
"2351_00047",3667.95,3973.49,3811.22,3813.2,3690.06,3645.55,3792.81,3700.68,3791.05,3758.64
"2351_00048",1818.52,1619.46,1789.58,1803.05,1763.89,1892.43,1798.24,1886.05,1972.57,2010.06
"2351_00049",2357.42,2334.82,2611.44,2227.37,2132.3,2796.69,2756.76,3284.01,3386.2,3091.89
"2351_00050",4099.65,5206.45,5367.81,4680.96,5042.89,4576.69,4840.95,4159.86,4541.41,4752.23
"2351_00051",91755.77,65611.18,52111.44,39640.17,40128.69,53710.56,48722.61,95421.69,84666.37,93047.63
"2351_00052",2128.53,1972.05,2025.31,2190.23,2128.75,1982.04,1818.38,2363.09,2110.39,2311.84
"2351_00053",4231.95,3097.65,2989.35,2465.97,2443.85,3740.05,3517.94,4605.44,4602.66,4351.31
"2351_00054",2499.38,3077.31,3344.33,3505.94,3838.14,2529.48,2610.77,2534.86,2487.48,2360.86
"2351_00055",367.95,272.36,212.8,253.24,226.26,316.08,239.63,391.16,316.8,338.82
"2351_00056",90.78,100.58,87.14,94.54,84.11,80.65,104.71,130.1,143.56,164.51
"2351_00057",481.91,531.15,573.29,567.25,467.92,452.13,482.28,664.12,735.05,741.92
"2351_00058",196.05,238.45,224.73,390.55,496.35,155.6,166.13,13849.48,10378.72,9911.92
"2351_00059",533.1,412.49,482.48,467.08,425.28,559.66,437.98,519.56,479.5,456.48
"2351_00060",63.74,97.19,82.55,97.92,80.55,65.17,70.48,91.84,91.88,77.35
"2351_00061",9109.04,10030.91,15531.06,14596.63,12595.97,9701.64,11598.94,12528.9,11221.92,10941.46
"2351_00062",6609.65,7923.25,7496.77,8711.38,8789.81,6890.29,8399.17,7454.93,7195.43,7080.41
"2351_00063",2477.17,2044.38,2058.33,2087.81,2078.99,2498.53,2300.66,2138.6,2137.19,1993.71
"2351_00064",1646.62,1263.47,1202.53,1343.85,1476.02,1174.72,1102.5,983.84,1053.76,1195.14
"2351_00065",1118.35,167.26,240.32,176.7,150.45,157.23,200.36,1528.91,367.52,319.21
"2351_00066",439.42,80.24,105.49,65.28,55.68,87.98,105.72,688.77,167.49,166.69
"2351_00067",642.23,119.79,121.08,87.79,92.4,114.87,140.96,642.01,156.01,162.33
"2351_00068",796.75,192.12,193.54,201.46,125.57,202.03,226.54,872.45,280.43,270.19
"2351_00069",1651.45,334.51,356.81,296.01,253.51,352.74,316.15,1486.39,392.41,345.36
"2351_00070",921.33,133.35,133.92,123.81,137.41,118.12,121.83,515.31,112.94,118.75
"2351_00071",2743.72,461.09,425.61,310.64,358.94,459.46,398.71,1345.24,312.01,369.33
"2351_00072",8572.07,1226.18,978.72,734.95,771.18,945.81,1017.93,2390.3,482.37,580.68
"2351_00073",18719.3,26606.33,22575.63,27418.35,28449.61,18265.22,23489.88,17720.22,16186.36,17011.94
"2351_00074",22392.08,32250.14,29586.26,37096.54,39647.73,25160.4,28171.74,22957.46,21322.12,21593.13
"2351_00075",25906.48,38706.49,35376.92,45237.29,47005.35,30348.9,34565.26,27440.45,25289.27,25818.06
"2351_00076",34325,47957.63,43159.89,53496.22,54712.43,37599.26,42997.65,34908.99,31913.31,31634.69
"2351_00077",2200,1235.22,1111.72,733.83,786.58,1777.56,1105.52,2485.54,2482.7,2689.88
"2351_00078",38.63,35.03,54.12,55.15,37.91,53.77,45.31,58.67,53.6,49.03
"2351_00079",38.63,51.99,51.37,65.28,45.02,56.21,67.46,67.18,66.04,56.65
"2351_00080",66.64,73.46,79.8,57.4,60.42,53.77,54.37,85.88,92.84,95.87
"2351_00081",11.59,6.78,13.76,20.26,8.29,13.85,11.08,14.46,21.06,7.63
"2351_00082",11.59,3.39,10.09,13.51,10.66,13.03,16.11,15.31,11.49,9.81
"2351_00083",72.43,84.76,82.55,56.28,46.2,54.58,57.39,76.53,67.95,67.55
"2351_00084",307.11,274.62,245.83,194.71,202.57,184.11,228.56,180.27,159.83,151.44
"2351_00085",706.94,665.64,652.17,710.19,749.86,755.99,675.6,715.99,668.05,680.91
"2351_00086",452.94,412.49,402.68,400.68,409.88,422.8,414.82,448.13,420.16,434.7
"2351_00087",15970.75,11675.23,10027.5,13538.66,13582.75,10904.06,10658.54,10335.03,7443.31,8076.18
"2351_00088",2188.41,1498.53,1408.91,2006.77,1922.62,1655.36,1727.76,1463.43,1056.63,1096
"2351_00089",1407.11,2351.77,2679.32,1476.66,1209.49,3045.15,2786.97,1840.13,3457.02,2815.17
"2351_00090",125.55,97.19,92.64,81.04,69.89,106.72,112.77,94.39,88.05,106.77
"2351_00091",51.19,42.94,34.86,32.64,43.83,46.43,33.23,31.46,26.8,37.04
"2351_00092",19.32,9.04,18.35,20.26,8.29,15.48,7.05,12.76,7.66,3.27
"2351_00093",52.15,56.51,56.87,38.27,48.57,60.28,45.31,32.31,32.54,34.86
"2351_00094",75.33,56.51,65.13,47.27,53.31,53.77,56.38,43.37,35.41,35.95
"2351_00095",65.67,65.55,51.37,55.15,46.2,66.8,43.29,39.97,36.37,34.86
"2351_00096",1166.64,1484.97,1593.28,1535.18,1517.49,1362.91,1641.17,1388.6,1288.25,1285.56
"2351_00097",4517.82,5347.71,5426.52,6045.07,5947.93,5445.11,5628.31,5386.05,5585.6,5489.8
"2351_00098",3413.96,3344.01,2739.86,2612.29,2898.74,2828.46,2777.91,2164.11,2076.89,2328.18
"2351_00099",18995.51,25831.07,25910.79,31901.22,31879.06,24578.75,28475.81,19376.69,20539.22,19726.88
"2351_00100",192.19,244.11,232.98,180.08,212.05,202.03,214.46,162.41,191.42,195.01
"2351_00101",7996.48,9636.5,10741.13,9865.02,9395.15,9746.45,10927.37,10651.35,10227.5,10124.36
"2351_00102",9066.54,12912.71,15433.83,14920.78,13326.87,13266.54,15462.24,16288.25,17004.67,16286.36
"2351_00103",9385.24,10265.98,11120.87,11186.36,10707.7,11031.15,10704.86,11327.37,12648.94,12380.64
"2351_00104",15246.43,13707.18,12928.79,12884.74,12836.44,13671.42,11868.78,12110.53,13190.66,13631.34
"2351_00105",21563.46,19572.49,18183.78,17163.9,17243.19,20920.98,18675.11,18145.39,20849.32,20480.79
"2351_00106",2171.99,2613.96,2712.34,3128.89,2655.9,2601.17,2685.28,3226.19,3430.22,3285.82
"2351_00107",1860.05,1898.6,2351.86,2278.02,2049.38,2046.4,1990.55,2670.92,2889.46,2927.38
"2351_00108",458.74,549.24,621.9,650.54,567.43,620.76,557.8,812.07,856.6,841.06
"2351_00109",1163.74,1223.92,1600.62,1478.91,1119.46,1402.01,1264.61,2306.12,2495.14,2178.92
"2351_00110",1760.58,1961.88,1912.49,1845.82,2041.08,1793.04,1593.85,1971.94,2140.06,2287.87
