"","WT1-","PZGH2-","PZGH3-","PZGH2+","PZGH3+","WT2-","WT3-","WT1+","WT2+","WT3+"
"2351_00001",396,202,300,217,214,386,264,438,342,302
"2351_00002",44,27,43,26,37,32,33,24,14,19
"2351_00003",726,532,691,438,337,927,650,1069,1186,928
"2351_00004",544,253,283,211,237,330,276,309,237,220
"2351_00005",249,123,155,95,121,183,146,157,114,88
"2351_00006",177,67,87,75,72,150,125,114,89,84
"2351_00007",343,225,302,206,182,320,302,282,251,223
"2351_00008",595,429,495,356,367,637,490,522,450,346
"2351_00009",2170,1553,2303,1614,1311,2946,2048,3032,3091,2311
"2351_00010",4203,3841,4481,3395,3270,4808,4071,4545,4060,3437
"2351_00011",3672,3538,4617,3670,3546,4732,3929,4920,4687,3988
"2351_00012",6790,5709,7061,5569,5086,8371,7192,8380,7367,6086
"2351_00013",711,730,995,839,744,1059,890,1061,1031,802
"2351_00014",10198,12473,15208,12542,11516,15639,14881,14887,14050,11963
"2351_00015",130,81,70,49,45,103,64,38,47,50
"2351_00016",423,318,400,348,303,557,417,460,411,300
"2351_00017",4101,2101,2186,1732,1787,3400,1732,2465,1672,1706
"2351_00018",91,48,52,45,45,85,61,67,57,43
"2351_00019",98,52,49,43,43,82,68,37,40,54
"2351_00020",1550,939,947,688,657,1194,907,632,621,648
"2351_00021",1762,1174,1291,983,983,1543,1120,865,817,706
"2351_00022",1595,1720,2260,1736,1813,2024,1947,2052,1934,1674
"2351_00023",914,1154,1647,1397,1300,1543,1474,2036,1964,1962
"2351_00024",2477,2129,2779,1861,1917,3238,2282,2979,3031,2779
"2351_00025",1613,2295,3930,4237,3900,3158,2864,3052,3937,4126
"2351_00026",879,1195,1865,2147,1927,1586,1313,1382,1819,1995
"2351_00027",22925,18199,19872,18959,19296,21867,19126,20926,16973,14601
"2351_00028",265,213,279,225,217,337,286,351,323,288
"2351_00029",536,377,481,387,356,704,477,581,486,432
"2351_00030",6190,4465,3472,4327,5149,6443,5977,8013,5420,3999
"2351_00031",3825,3520,2985,3585,4464,4711,4642,5909,4137,3269
"2351_00032",3450,2727,3042,2723,2885,4454,4220,8252,8461,6803
"2351_00033",348,282,397,309,337,491,418,940,965,838
"2351_00034",1805,1693,1939,1663,1483,2496,1722,1842,1623,1378
"2351_00035",2293,2028,2793,2291,2064,3247,2447,3980,3892,3144
"2351_00036",4438,2938,3536,2820,2804,5372,3644,4205,3495,3067
"2351_00037",2725,2606,3227,2863,2575,3668,3257,3776,3279,2792
"2351_00038",9929,9676,12533,10474,9840,13553,12435,11517,10088,8478
"2351_00039",652,461,661,498,416,650,576,738,592,538
"2351_00040",328,225,369,285,211,347,305,468,372,337
"2351_00041",1007,795,1113,1005,749,1133,974,1435,1255,1009
"2351_00042",7807,3869,5544,4128,3887,7339,5577,7254,5255,4222
"2351_00043",23726,20543,24321,20119,19989,26383,21609,24437,21971,19137
"2351_00044",3709,2845,4080,4194,4027,4131,3647,4640,3883,3469
"2351_00045",4203,2558,3361,3314,3106,4094,2905,4196,3166,3147
"2351_00046",6074,5842,7101,5355,5321,7218,5514,6232,5927,5363
"2351_00047",3798,3516,4155,3388,3115,4475,3767,4352,3961,3450
"2351_00048",1883,1433,1951,1602,1489,2323,1786,2218,2061,1845
"2351_00049",2441,2066,2847,1979,1800,3433,2738,3862,3538,2838
"2351_00050",4245,4607,5852,4159,4257,5618,4808,4892,4745,4362
"2351_00051",95009,58057,56812,35220,33875,65931,48391,112216,88462,85407
"2351_00052",2204,1745,2208,1946,1797,2433,1806,2779,2205,2122
"2351_00053",4382,2741,3259,2191,2063,4591,3494,5416,4809,3994
"2351_00054",2588,2723,3646,3115,3240,3105,2593,2981,2599,2167
"2351_00055",381,241,232,225,191,388,238,460,331,311
"2351_00056",94,89,95,84,71,99,104,153,150,151
"2351_00057",499,470,625,504,395,555,479,781,768,681
"2351_00058",203,211,245,347,419,191,165,16287,10844,9098
"2351_00059",552,365,526,415,359,687,435,611,501,419
"2351_00060",66,86,90,87,68,80,70,108,96,71
"2351_00061",9432,8876,16932,12969,10633,11909,11520,14734,11725,10043
"2351_00062",6844,7011,8173,7740,7420,8458,8342,8767,7518,6499
"2351_00063",2565,1809,2244,1855,1755,3067,2285,2515,2233,1830
"2351_00064",1705,1118,1311,1194,1246,1442,1095,1157,1101,1097
"2351_00065",1158,148,262,157,127,193,199,1798,384,293
"2351_00066",455,71,115,58,47,108,105,810,175,153
"2351_00067",665,106,132,78,78,141,140,755,163,149
"2351_00068",825,170,211,179,106,248,225,1026,293,248
"2351_00069",1710,296,389,263,214,433,314,1748,410,317
"2351_00070",954,118,146,110,116,145,121,606,118,109
"2351_00071",2841,408,464,276,303,564,396,1582,326,339
"2351_00072",8876,1085,1067,653,651,1161,1011,2811,504,533
"2351_00073",19383,23543,24612,24361,24016,22421,23330,20839,16912,15615
"2351_00074",23186,28537,32255,32960,33469,30885,27980,26998,22278,19820
"2351_00075",26825,34250,38568,40193,39680,37254,34330,32270,26423,23698
"2351_00076",35542,42436,47053,47531,46186,46154,42705,41053,33344,29037
"2351_00077",2278,1093,1212,652,664,2182,1098,2923,2594,2469
"2351_00078",40,31,59,49,32,66,45,69,56,45
"2351_00079",40,46,56,58,38,69,67,79,69,52
"2351_00080",69,65,87,51,51,66,54,101,97,88
"2351_00081",12,6,15,18,7,17,11,17,22,7
"2351_00082",12,3,11,12,9,16,16,18,12,9
"2351_00083",75,75,90,50,39,67,57,90,71,62
"2351_00084",318,243,268,173,171,226,227,212,167,139
"2351_00085",732,589,711,631,633,928,671,842,698,625
"2351_00086",469,365,439,356,346,519,412,527,439,399
"2351_00087",16537,10331,10932,12029,11466,13385,10586,12154,7777,7413
"2351_00088",2266,1326,1536,1783,1623,2032,1716,1721,1104,1006
"2351_00089",1457,2081,2921,1312,1021,3738,2768,2164,3612,2584
"2351_00090",130,86,101,72,59,131,112,111,92,98
"2351_00091",53,38,38,29,37,57,33,37,28,34
"2351_00092",20,8,20,18,7,19,7,15,8,3
"2351_00093",54,50,62,34,41,74,45,38,34,32
"2351_00094",78,50,71,42,45,66,56,51,37,33
"2351_00095",68,58,56,49,39,82,43,47,38,32
"2351_00096",1208,1314,1737,1364,1281,1673,1630,1633,1346,1180
"2351_00097",4678,4732,5916,5371,5021,6684,5590,6334,5836,5039
"2351_00098",3535,2959,2987,2321,2447,3472,2759,2545,2170,2137
"2351_00099",19669,22857,28248,28344,26911,30171,28282,22787,21460,18107
"2351_00100",199,216,254,160,179,248,213,191,200,179
"2351_00101",8280,8527,11710,8765,7931,11964,10853,12526,10686,9293
"2351_00102",9388,11426,16826,13257,11250,16285,15357,19155,17767,14949
"2351_00103",9718,9084,12124,9939,9039,13541,10632,13321,13216,11364
"2351_00104",15787,12129,14095,11448,10836,16782,11788,14242,13782,12512
"2351_00105",22328,17319,19824,15250,14556,25681,18548,21339,21784,18799
"2351_00106",2249,2313,2957,2780,2242,3193,2667,3794,3584,3016
"2351_00107",1926,1680,2564,2024,1730,2512,1977,3141,3019,2687
"2351_00108",475,486,678,578,479,762,554,955,895,772
"2351_00109",1205,1083,1745,1314,945,1721,1256,2712,2607,2000
"2351_00110",1823,1736,2085,1640,1723,2201,1583,2319,2236,2100
"2351_00111",5696,5403,5755,4583,4676,5360,4819,4617,3869,3497
"2351_00114",1163,932,1180,1046,1010,1450,1069,1195,1060,976
"2351_00115",2534,2423,2984,2656,2428,3647,2975,3333,3003,2612
"2351_00116",2422,2518,3257,2972,2562,3827,3372,3973,3579,2953
"2351_00117",1668,1658,2017,1770,1566,2303,1883,2121,1848,1555
"2351_00118",1293,1177,1175,1117,1124,1182,1060,1389,1085,1054
"2351_00119",834,823,824,760,761,987,856,865,652,565
"2351_00120",7005,1942,2249,549,511,8912,8423,4501,3727,3112
"2351_00121",3065,799,1022,202,238,3624,3722,1616,1351,1144
"2351_00122",1458,387,511,129,139,1753,1718,717,635,527
"2351_00123",2061,525,557,167,140,1943,1968,844,679,572
"2351_00124",544,517,648,448,459,782,719,687,677,546
"2351_00125",3697,2432,2485,1915,1615,3488,2985,3389,2985,2427
"2351_00126",770,994,1164,794,775,1175,1120,1133,1082,925
"2351_00127",12090,5551,5123,3056,2617,6360,4303,7474,5726,5807
"2351_00128",379,551,532,524,537,496,479,506,445,392
"2351_00129",18617,15672,16100,11943,11346,17348,14481,15548,13422,11915
"2351_00130",1596,2053,2535,1970,1975,2206,2119,2256,1995,1868
"2351_00131",464,244,219,167,149,317,279,156,110,106
"2351_00132",2323,1274,1516,1285,1252,2409,1561,2024,1554,1237
"2351_00133",52024,45392,56282,48041,45594,64222,51363,48055,64110,54938
"2351_00134",12619,10796,14093,12665,11989,17654,12314,12173,16865,14676
"2351_00135",359,314,421,353,299,447,367,396,339,299
"2351_00136",1354,1424,1710,880,790,2070,1644,1757,2946,2932
"2351_00137",235566,129857,145674,54041,52744,214272,190780,170760,120062,123161
"2351_00138",12961,5919,7719,4576,4612,14589,14403,9603,7918,7224
"2351_00139",689,720,960,844,835,948,749,1017,1038,903
"2351_00140",1116,1440,1947,1923,1776,1777,1574,2228,2133,1894
"2351_00141",7363,6529,7593,5380,5244,9279,6802,8534,8385,7127
"2351_00142",64,46,66,56,50,63,45,48,56,44
"2351_00143",2100,2022,2155,1940,2024,2167,1685,2176,1999,2016
"2351_00144",59,42,26,26,23,50,42,32,21,25
"2351_00145",197,185,196,124,132,191,161,154,120,101
"2351_00146",234,190,193,131,125,213,173,175,196,157
"2351_00147",9068,7875,8509,7260,7219,10115,8602,12762,12017,10106
"2351_00148",158,103,108,91,74,111,109,80,60,60
"2351_00149",596,347,395,288,295,415,304,222,192,168
"2351_00150",3594,2482,2335,2198,2009,3192,1673,2226,1972,1662
"2351_00151",5497,4251,3956,3362,3439,4586,3192,3945,3383,3114
"2351_00152",2653,1941,2411,1648,1594,3032,2357,2196,1795,1833
"2351_00153",1250,899,1108,1004,1043,1406,1183,1249,1057,1003
"2351_00154",1061,202,192,177,185,896,944,245,230,202
"2351_00155",838,157,140,141,133,858,847,203,149,159
"2351_00156",217,134,235,154,136,342,257,408,346,262
"2351_00157",1614,1198,1241,1076,1001,1387,1230,1518,1272,1068
"2351_00158",1047,807,864,836,676,1176,942,1233,1076,778
"2351_00159",1621,1064,1225,1139,1147,1581,1102,1103,845,835
"2351_00160",229,188,206,187,182,260,185,320,254,185
"2351_00161",2315,767,795,385,408,1192,871,1037,728,704
"2351_00162",150,84,94,57,72,138,131,148,133,98
"2351_00163",1247,1022,1139,1057,1033,1370,1196,1094,869,817
