locus_tag	ftype	length_bp	gene	EC_number	COG	product
1617.00_00001	CDS	540				IS3 family transposase IS1397
1617.00_00002	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
1617.00_00003	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
1617.00_00004	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
1617.00_00005	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
	sig_peptide	60				putative signal peptide
1617.00_00006	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
1617.00_00007	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
1617.00_00008	CDS	279				hypothetical protein
1617.00_00009	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
1617.00_00010	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
1617.00_00011	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
1617.00_00012	CDS	996	flk			Flagellar regulator flk
1617.00_00013	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
1617.00_00014	CDS	1014	usg		COG0136	USG-1 protein
1617.00_00015	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
1617.00_00016	CDS	660	dedA		COG0586	Protein DedA
1617.00_00017	CDS	915	accD	6.4.1.2	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
1617.00_00018	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
1617.00_00019	CDS	651	dedD			Cell division protein DedD
1617.00_00020	CDS	489	cvpA		COG1286	Colicin V production protein
1617.00_00021	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
1617.00_00022	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
1617.00_00023	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
	sig_peptide	69				putative signal peptide
1617.00_00024	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
	sig_peptide	69				putative signal peptide
1617.00_00025	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
1617.00_00026	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
1617.00_00027	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
1617.00_00028	CDS	891				ISNCY family transposase ISRor2
1617.00_00029	CDS	894				Epimerase family protein
1617.00_00030	CDS	363	folX	5.1.99.-	COG1539	Dihydroneopterin triphosphate 2'-epimerase
1617.00_00031	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
1617.00_00032	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
1617.00_00033	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
1617.00_00034	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
1617.00_00035	CDS	1479				hypothetical protein
1617.00_00036	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
1617.00_00037	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
1617.00_00038	CDS	456				hypothetical protein
1617.00_00039	CDS	495				hypothetical protein
1617.00_00040	CDS	651	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
